,date_of_fail,product_description,country_of_origin,producer_name,reason_for_fail,results,units,reference,food_category,test_applied,holding_order_number,category   ,result/s,category,test_applied/_reason_for_fail,results/units,results_/_units.1,result,results_in_mg_per_kg
892,2021-03-18,Lentils,Myanmar,AYS MFG Co Ltd,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 15007,,,,,,,,
893,2021-03-18,Yellow lentils,Myanmar,AYS MFG Co Ltd,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 15323,,,,,,,,
894,2021-03-19,Chocolate and caramel cereal bars,United Kingdom,Tesco Pty Ltd,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,HO match 16818,,,,,,,,
895,2021-03-19,Chocolate and caramel cereal bars,United Kingdom,Tesco Pty Ltd,Pantothenic acid,,none,FSC 1.3.2,Surveillance,Composition,HO match 16818,,,,,,,,
896,2021-03-19,Potato chips,China,Hunan Wangwang Foodstuffs Co Ltd,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,HO match 16641,,,,,,,,
897,2021-03-18,Betel nut,India,Visnukumar Traders Pvt Ltd,Prohibited plant,,none,FSC 1.4.4,Risk,Not Applied,,,,,,,,,
898,2021-04-09,Tapioca crisp,Malaysia,Desa Southern Agency,Hydrocyanic acid,11.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,11.0
899,2021-04-13,Cassava chips,Indonesia,PT Rasa Sayang Ais Krim,Hydrocyanic acid,11.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,11.0
900,2021-04-13,Roasted peanuts,China,Shandong Fengsheng Foods Co Ltd,Aflatoxin,0.149,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.149
901,2021-04-14,Tapioca chips,Indonesia,Wynad Exports,Hydrocyanic acid,14.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,14.0
902,2021-04-14,Tapioca sticks,Indonesia,Wynad Exports,Hydrocyanic acid,18.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,18.0
903,2021-04-15,Dried seaweed strip,China,Fuzhou Hailin Foods Co Ltd,Iodine,1830.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,1830.0
904,2021-04-15,Dried seaweed,China,Fuzhou Hailin Foods Co Ltd,Iodine,2900.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,2900.0
905,2021-04-23,Peanuts granulated,China,Shandong Fengsheng Foods Co Ltd,Aflatoxin,0.032,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.032
906,2021-04-24,Sweet peanuts,Sri Lanka,J Remitta Stores,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,
907,2021-04-30,Red chilli powder,India,Al Saqr General Trading Co Llc,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
908,2021-03-19,Candy,Japan,Kasugai Seika Co Ltd,Gardenia blue,,none,FSC 1.3.1,Surveillance,Composition,16956,,,,,,,,
909,2021-04-01,Raisin sultana,India,Patidar Exports Pvt Ltd,Thiamethoxam,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16944,,,,,,,,
910,2021-04-07,Spinach,China,Gaomi Ruifeng Foods Co,Cyhalothrin,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16945,,,,,,,,
911,2021-04-07,Spinach,China,Gaomi Ruifeng Foods Co,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16945,,,,,,,,
912,2021-04-14,Snow peas,China,Yongzhou Huiyou Agriculture Development Limited Company,Thiamethoxam,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16960,,,,,,,,
913,2021-04-14,Snow peas,China,Yongzhou Huiyou Agriculture Development Limited Company,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16960,,,,,,,,
914,2021-04-20,Raisins,India,Patidar Exports Pvt Ltd,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,16981,,,,,,,,
915,2021-04-23,Gourd slices,India,Innovative cuisine,Monocrotophos,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 16840,,,,,,,,
916,2021-04-23,Gourd slices,India,Innovative cuisine,Acephate,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 16840,,,,,,,,
917,2021-04-29,Energy,Iraq,Narin Company General Trading,Vitamin B2,,none,FSC 1.3.2,Surveillance,Composition,17017,,,,,,,,
918,2021-04-29,Energy,Iraq,Narin Company General Trading,Vitamin B6,,none,FSC 1.3.2,Surveillance,Composition,17017,,,,,,,,
919,2021-03-22,White tahini,Kuwait,Al Seedawai Sweet Factories Ksc,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
920,2021-04-01,Dried fernbrake Pteridium aquilinum,Republic of Korea,Sammi Commerce Co Ltd,Prohibited plant,,none,FSC 1.4.4,Risk,Not Applied,,,,,,,,,
921,2021-04-07,Kashmiri chilli powder,India,Grannys Spices Llp,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
922,2021-04-15,Dried seaweed ,Japan,Tohkon Co Ltd,Iodine,4300.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,4300.0
923,2021-04-20,Chilli crushed,India,RDR Impex,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
924,2021-04-23,Tapioca chips spicy,India,Wynad Exports,Hydrocyanic acid,21.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,21.0
925,2021-05-05,Peanut candy,China,Nilamel Exports,Aflatoxin,0.027,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.027
926,2021-05-06,Tapioca chips,India,Fineday Foods,Hydrocyanic acid,17.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,17.0
927,2021-05-06,Tapioca chips hot,India,Fineday Foods,Hydrocyanic acid,20.0,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,,20.0
928,2021-05-06,Yellowfin tuna loin,Fiji,Sealand Processors Fiji Limited,Histamine,2060.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,2060.0
929,2021-05-06,Yellowfin tuna loin,Fiji,Sealand Processors Fiji Limited,Histamine,1605.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,1605.0
930,2021-05-07,Betel nut,India,Eastern Red Ruby Food Pvt Ltd,Prohibited plant,,none,FSC 1.4.4,Risk,Not Applied,,,,,,,,,
931,2021-05-10,Roasted peanuts,China,Zhejiang Golden Channel Information Technology,Aflatoxin,0.225,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.225
932,2021-05-13,Sesame seeds,India,Maanas Foods & Spices Impex,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
933,2021-05-13,Halawa with pistachio,Lebanon,Sonaco (Lebanon),Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
934,2021-05-17,Betel nut mouth freshener,Pakistan,Ansa Food Products,Prohibited plant,,none,FSC 1.4.4,Risk,Not Applied,,,,,,,,,
935,2021-05-19,Betel nut,India,Dharampal Premchand Ltd,Prohibited plant,,none,FSC 1.4.4,Risk,Not Applied,,,,,,,,,
936,2021-05-22,Dried Spanish mackerel,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,500.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,500.0
937,2021-05-25,Black pepper,Italy,Especias Del Sol Sl,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
938,2021-05-26,Sesame peanut sauce,China,Beijing Liubiju Food Co Ltd,Aflatoxin,0.028,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.028
939,2021-03-17,Long bean,Fiji,Labasa Farm Fresh,Acephate,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 15819,,,,,,,,
940,2021-03-18,Dried catfish,Thailand,Chatchawan Import Export & Packaging Ltd,Ciprofloxacin,,mg/kg,FSC 1.4.2,Surveillance,Chemical,HO match 15683,,,,,,,,
941,2021-03-18,Dried catfish,Thailand,Chatchawan Import Export & Packaging Ltd,Enrofloxacin,,mg/kg,FSC 1.4.2,Surveillance,Chemical,HO match 15683,,,,,,,,
942,2021-04-16,Ayurvedic supplements,India,Shree Enterprises,Prohibited plant,,none,FSC 1.4.4,Surveillance,Composition,17069,,,,,,,,
943,2021-05-04,Candy,Japan,Kasugai Seika Co Ltd,Gardenia blue,,none,FSC 1.3.1,Surveillance,Composition,HO match 16956,,,,,,,,
944,2021-05-06,Dried seedless longan,Thailand,"O-Cha Food Pack Co.,Ltd",Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 14051,,,,,,,,
945,2021-05-10,Raisins,Pakistan,M.Manzoor & Co.Pak Ltd,Propargite,,none,FSC 1.4.2,Surveillance,Chemical,17037,,,,,,,,
946,2021-05-13,Cocoa powder,Japan,Morinaga & Co Ltd,Vitamin B1,,none,FSC 1.3.1,Surveillance,Composition,HO match 16720,,,,,,,,
947,2021-05-13,Cocoa powder,Japan,Morinaga & Co Ltd,Niacin,,none,FSC 1.3.1,Surveillance,Composition,HO match 16720,,,,,,,,
948,2021-05-13,Cocoa powder,Japan,Morinaga & Co Ltd,Ferric pyrophosphate,,none,FSC 1.3.1,Surveillance,Composition,HO match 16720,,,,,,,,
949,2021-05-14,Spinach,India,Benz Exports,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17046,,,,,,,,
950,2021-05-14,Broad bean pods,India,Benz Exports,Profenofos,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17047,,,,,,,,
951,2021-05-20,Cereal,United States,Post Foods,Calcium pantothenate,,none,FSC 1.3.2,Surveillance,Composition,17076,,,,,,,,
952,2021-05-20,Caramel & Chocolate bar,United Kingdom,Tesco Pty Ltd,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,HO match 16818,,,,,,,,
953,2021-05-20,Caramel & Chocolate bar,United Kingdom,Tesco Pty Ltd,Pantothenic acid,,none,FSC 1.3.2,Surveillance,Composition,HO match 16818,,,,,,,,
954,2021-05-21,Frozen red chilli,Vietnam,D&T Green Foods Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 15797,,,,,,,,
955,2021-05-31,Frozen red chilli whole,Vietnam,Gia Minh Company Ltd (Vietnam),Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17074,,,,,,,,
956,2021-05-31,Frozen red chilli whole,Vietnam,Gia Minh Company Ltd (Vietnam),Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17074,,,,,,,,
957,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
958,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
959,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
960,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
961,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
962,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
963,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
964,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
965,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
966,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
967,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
968,2021-05-31,,,,,,none,,Surveillance,Not Applied,,,,,,,,,
969,2021-04-28,Halvah with Vanilla,Turkey,Tunas Gida Paz San Tic Ltd,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
970,2021-04-28,Halvah with Pistachio,Turkey,Tunas Gida Paz San Tic Ltd,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
971,2021-04-28,Halvah with Cocoa,Turkey,Tunas Gida Paz San Tic Ltd,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
972,2021-05-04,Dried seaweed,Japan,Tohkon Co Ltd,Iodine,3200.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,3200.0
973,2021-05-06,Chilli powder,India,Mahashian Di Hatti Ltd,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
974,2021-05-07,Dried seer,Sri Lanka,Green Line Lanka Pvt Ltd,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,
975,2021-05-15,Dried Herring,Philippines,Sharmila Corp,Histamine,410.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,410.0
976,2021-05-26,Chilli powder,Mexico,Meximport Food Win S De Rl,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
977,2021-06-02,Dried seaweed,China,Jinqiang Food Factory,Iodine,2100.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,2100.0
978,2021-06-04,Areca catechu (Betel nut),India,Unique Fragrances,Prohibited plant,,none,FSC 1.4.4,Risk,Not Applied,,,,,,,,,
979,2021-06-04,Kelp,China,Fuzhou Hailin Food Co Ltd,Iodine,1900.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,1900.0
980,2021-06-08,Black pepper powder,Sri Lanka,New Lanka Cinnamon Pvt Ltd,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
981,2021-06-08,White pepper powder,Sri Lanka,New Lanka Cinnamon Pvt Ltd,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
982,2021-06-08,Black pepper whole,Sri Lanka,New Lanka Cinnamon Pvt Ltd,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
983,2021-06-09,Chilli powder,India,Nishant Export,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
984,2021-06-16,Peanut with anchovy,Malaysia,Huat Huat Kouping Sdn Bhd,Aflatoxin,0.041,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.041
985,2021-06-17,Sesame with peanut paste,China,Beijing Liubiju Food Co Ltd,Aflatoxin,0.039,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.039
986,2021-06-21,Areca catechu (Betel nut),India,Pramukh Food Exports Pvt Ltd,Prohibited plant,,none,FSC 1.4.4,Risk,Not Applied,,,,,,,,,
987,2021-06-21,Chilli powder,India,Miltop Exports,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
988,2021-06-22,Feta cheese,Greece,D.Kissas Bros O.E,Listeria,,none,CHE 07/2018,Risk,Not Applied,,,,,,,,,
989,2021-06-25,Dried Fish,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,290.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,290.0
990,2021-06-28,Dried Seaweed,Republic of Korea,Jayoenwon Food Inc,Iodine,4700.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,4700.0
991,2021-06-29,Dried Seaweed,Vietnam,Viet San Food Co,Iodine,4800.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,4800.0
992,2021-05-11,Cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,HO match 16563,,,,,,,,
993,2021-05-11,Cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,Vitamin A,,none,FSC 1.3.2,Surveillance,Composition,HO match 16563,,,,,,,,
994,2021-05-11,Cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,Iodine,,none,FSC 1.3.2,Surveillance,Composition,HO match 16563,,,,,,,,
995,2021-05-12,Drink powder,Malta,Foster & Clarke Products Ltd,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,17111,,,,,,,,
996,2021-05-18,Pear,China,Shenzhen J.F.Li Fruit Co Ltd,Cyhalothrin,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17112,,,,,,,,
997,2021-05-25,Cassava chips,Indonesia,Arira Pangindo,Colour 160b,,none,FSC 1.3.1,Surveillance,Composition,Risk food with surveillance test fail,,,,,,,,
998,2021-05-31,Maize & soya protein bar,Nigeria,Nestle Nigeria,Vitamin B5,,none,FSC 1.3.2,Surveillance,Composition,HO match 15076,,,,,,,,
999,2021-06-01,Frozen red chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17077,,,,,,,,
1000,2021-06-01,Frozen red chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17077,,,,,,,,
1001,2021-06-01,Frozen red chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Metalaxyl,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17077,,,,,,,,
1002,2021-06-01,Frozen red chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17077,,,,,,,,
1003,2021-06-01,Frozen mixed chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17077,,,,,,,,
1004,2021-06-01,Frozen mixed chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17077,,,,,,,,
1005,2021-06-01,Frozen green chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17077,,,,,,,,
1006,2021-06-01,Frozen green chilli,Vietnam,Nguyen Thanh Iep Co Ltd,Cyhalothrin,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17077,,,,,,,,
1007,2021-06-02,Calorie bar,Republic of Korea,Haitai Pacific Corp,Vitamin A,,none,FSC 1.3.2,Surveillance,Composition,HO match 16094,,,,,,,,
1008,2021-06-02,Calorie bar,Republic of Korea,Haitai Pacific Corp,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,HO match 16094,,,,,,,,
1009,2021-06-04,Goraka fruit,Sri Lanka,Jayalanka Supplier,2-phenylphenol,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 16775,,,,,,,,
1010,2021-06-09,Mango,Vietnam,DT Pro Co Ltd,Cypermethrin,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17083,,,,,,,,
1011,2021-06-18,Raisins,India,Harihar Foods Pvt Ltd,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 14347,,,,,,,,
1012,2021-06-18,Raisins,India,Harihar Foods Pvt Ltd,Propargite,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 14347,,,,,,,,
1013,2021-06-22,Calorie bar  cheese taste,Republic of Korea,Haitai Pacific Corp,Vitamin A,,none,FSC 1.3.2,Surveillance,Composition,HO match 16094,,,,,,,,
1014,2021-06-22,Calorie bar  maple syrup taste,Republic of Korea,Haitai Pacific Corp,Vitamin A,,none,FSC 1.3.2,Surveillance,Composition,HO match 16094,,,,,,,,
1015,2021-06-24,Cereal,Japan,Calbee,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,17115,,,,,,,,
1016,2021-06-24,Cereal,Japan,Calbee,Pantothenic acid,,none,FSC 1.3.2,Surveillance,Composition,17115,,,,,,,,
1017,2021-06-28,Raisin sultana,India,Patidar Exports Pvt Ltd,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 16944,,,,,,,,
1018,2021-06-28,Raisin sultana,India,Patidar Exports Pvt Ltd,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,HO match 16944,,,,,,,,
1019,2021-06-28,Betel leaves,India,Malar Exports,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17116,,,,,,,,
1020,2021-06-28,Betel leaves,India,Malar Exports,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17116,,,,,,,,
1021,2021-06-28,Betel leaves,India,Malar Exports,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17116,,,,,,,,
1022,2021-05-07,Whole black peppercorns,India,Spicesmith Exports Private Limited,Mould,,none,Imported Food Control Act Section 3(2),Risk,Not Applied,,,,,,,,,
1023,2021-06-03,Jarlsberg cheese,Ireland,Tine Ireland Ltd,Mould,,none,Imported Food Control Act Section 3(2),Risk,Not Applied,,,,,,,,,
1024,2021-06-03,Jarlsberg cheese,Ireland,Tine Ireland Ltd,Mould,,none,Imported Food Control Act Section 3(2),Risk,Not Applied,,,,,,,,,
1025,2021-07-01,Red chilli powder,India,Pramukh Food Exports Pvt Ltd,Salmonella,125.0,g,SPI 06/2019,Risk,Not Applied,,,,,,,,,1250000.0
1026,2021-07-02,Peanut brittle,India,Datta Ram Nand Lal,Aflatoxin,0.157,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.157
1027,2021-07-02,Pistachio halva,Islamic Replubic of Iran,Shirreza,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
1028,2021-07-02,Tahini,Islamic Replubic of Iran,Shirreza,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
1029,2021-07-02,Strawberry sesame cream,Islamic Replubic of Iran,Shirreza,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
1030,2021-07-02,Banana sesame cream,Islamic Replubic of Iran,Shirreza,Salmonella,125.0,g,SES 05/2014,Risk,Not Applied,,,,,,,,,1250000.0
1031,2021-07-09,Peanut candy,India,Tiruvonam Popular Food Products,Aflatoxin,17.0,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,17.0
1032,2021-07-16,Peanut butter,Ghana,Tayaako Enterprise,Aflatoxin,0.035,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.035
1033,2021-07-19,Betel nut,India,Gajanand Foods Pvt Ltd,Prohibited plant,,none,Prohibited plants and fungi,Risk,Not Applied,,,,,,,,,
1034,2021-07-23,Organic blanched roasted peanuts,Paraguay,Healthy Grains SA,Aflatoxin,0.15,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.15
1035,2021-07-26,Peanuts,Indonesia,Pt. Ambengan Jaya Berkat Sejahtera,Aflatoxin,0.07,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,,0.07
1036,2021-07-27,Mackerel,Japan,Mizuno Sea Foods Co. Ltd,Listeria,125.0,g,FSH 07/2018,Risk,Not Applied,,,,,,,,,1250000.0
1037,2021-07-28,Dried Kelp,Republic of Korea,Young Il General Food,Iodine,4580.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,4580.0
1038,2021-07-29,Cheese,Ireland,Dairygold Imokilly (Mogeely Ireland),Mould,125.0,g,Imported Food Control Act Section 3(2),Risk,Not Applied,,,,,,,,,1250000.0
1039,2021-07-30,Headless dried herring,Philippines,Umahan International Inc,Histamine,260.0,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,,260.0
1040,2021-07-30,,,,,,none,,Risk,Not Applied,,,,,,,,,
1041,2021-05-11,Jacobs original cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,Iodine,,none,FSC 1.3.2,Surveillance,Composition,Holding order match 16563,,,,,,,,
1042,2021-06-02,Calorie balance bar  chocolate taste,Republic of Korea,Haitai Pacific Corp,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,Holding order match 16094,,,,,,,,
1043,2021-06-02,Calorie balance bar  cheese taste,Republic of Korea,Haitai Pacific Corp,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,Holding order match 16094,,,,,,,,
1044,2021-07-02,Cutlets swamp eel,Vietnam,Hung Phong Co Ltd (DL 531),Ciprofloxacin not permitted in this food,0.0038,mg/kg,FSC 1.4.2,Surveillance,Seafood antimicrobial test,17144,,,,,,,,0.0038
1045,2021-07-02,Cutlets swamp eel,Vietnam,Hung Phong Co Ltd (DL 531),Enrofloxacin,0.0038,mg/kg,FSC 1.4.2,Surveillance,Seafood antimicrobial test,17144,,,,,,,,0.0038
1046,2021-07-02,Frozen spinach,China,Shanghai Dongmei Import & Export Co Ltd,Cyhalothrin,0.011,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17147,,,,,,,,0.011
1047,2021-07-06,Fondant cake icing,United States,Satin Fine Foods Inc,Additive Potassium aluminium silicate (E555) not permitted in this food,,none,FSC 1.3.1,Surveillance,Composition,17217,,,,,,,,
1048,2021-07-07,Spinach,India,Vadilal Industries Limited,Detected in excess of permitted level,,mpn/g,FSC 1.6.1,Surveillance,E. coli,17148,,,,,,,,
1049,2021-07-08,Red wine and garlic sprinkle,South Africa,Flippen Lekka Spice,Additive Erythrosine (E127) not permitted in this food,,none,FSC 1.3.1,Surveillance,Composition,17170,,,,,,,,
1050,2021-07-12,White fermented bean curd with sesame oil,Taiwan,Chia Li Food Co Ltd,Detected in excess of levels permitted,,cfu/g,FSC 1.6.1,Surveillance,Bacillus cereus,Holding order match 16465,,,,,,,,
1051,2021-07-12,Fresh lychee,Vietnam,"Red Dragon Co., Ltd",Cypermethrin,0.132,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17183,,,,,,,,0.132
1052,2021-07-15,Energy drink,United States,Ignite International,Caffeine,529.0,mg/l,FSC 2.6.4,Surveillance,Composition,17204,,,,,,,,529.0
1053,2021-07-15,Energy drink,United States,Ignite International,Caffeine,529.0,mg/l,FSC 2.6.4,Surveillance,Composition,17204,,,,,,,,529.0
1054,2021-07-22,Edamame soybeans in pod ,Indonesia,Pt Mitratani Dua Tujuh,Permethrin detected in excess of MRL,0.08,mg/kg,FSC 1.4.2,Surveillance,Fruit and vegetable residue screen,17201,,,,,,,,0.08
1055,2021-07-22,Soft shell crabs,Myanmar,"Gallant Ocean Trading Co., Ltd",Nitrofurazone,0.003,mg/kg,FSC 1.4.2,Surveillance,Nitrofurans ,Holding order match 15631,,,,,,,,0.003
1056,2021-07-22,Sports supplements  various flavours,United States,Ans Performance,Prohibited plant,,none,FSC 1.4.4,Surveillance,Composition,17283,,,,,,,,
1057,2021-07-23,Frozen sour soup creeper,Vietnam,Hai Chau Aquatic Product Company Limited,Detected in excess of level permitted,0.2,mg/kg,FSC 1.4.1,Surveillance,Lead,17203,,,,,,,,0.2
1058,2021-07-23,Fresh mangosteens,Thailand,Tropical Green Co Ltd,Chlorpyrifos,0.36,mg/kg,FSC 1.4.2,Surveillance, Fruit and vegetable residue screen,17208,,,,,,,,0.36
1059,2021-08-03,Kelp,China,Cangzhou Huahei Shunda Grain and Oil Seasoning Co,Iodine,6000.0,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,,6000.0
